SP_GEOMETRY,CommonName,Easting,Northing
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,467800,174300
System.__ComObject,Whitethroat,467800,174300
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,213900
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,471400,171900
System.__ComObject,Whitethroat,471400,171900
System.__ComObject,Whitethroat,471400,171900
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,450000,166700
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,454500,208200
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,456300,213700
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,455600,212700
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456300,213700
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,456600,213400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,455500,214400
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,455500,213200
System.__ComObject,Whitethroat,456500,214300
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,456200,214400
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456100,213600
System.__ComObject,Whitethroat,456500,212700
System.__ComObject,Whitethroat,456500,212700
System.__ComObject,Whitethroat,456500,212700
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,448500,217800
System.__ComObject,Whitethroat,444600,218080
System.__ComObject,Whitethroat,435387,201220
System.__ComObject,Whitethroat,459900,211700
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,462440,201140
System.__ComObject,Whitethroat,423800,190300
System.__ComObject,Whitethroat,423800,190300
System.__ComObject,Whitethroat,436960,163990
System.__ComObject,Whitethroat,436960,163990
System.__ComObject,Whitethroat,452600,204100
System.__ComObject,Whitethroat,461400,208000
System.__ComObject,Whitethroat,462200,225800
System.__ComObject,Whitethroat,462200,225800
System.__ComObject,Whitethroat,478450,175690
System.__ComObject,Whitethroat,478450,175690
System.__ComObject,Whitethroat,485170,179940
System.__ComObject,Whitethroat,485620,162890
System.__ComObject,Whitethroat,435376,200464
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,470000,170200
