SP_GEOMETRY,CommonName,Easting,Northing,RecYear
System.__ComObject,Whitethroat,472000,188000,1988
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,467800,174300,1997
System.__ComObject,Whitethroat,467800,174300,1997
System.__ComObject,Whitethroat,457000,214000,2004
System.__ComObject,Whitethroat,457000,213900,2001
System.__ComObject,Whitethroat,457000,212800,2005
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,456600,213400,2007
System.__ComObject,Whitethroat,456600,213400,2002
System.__ComObject,Whitethroat,456600,213400,2000
System.__ComObject,Whitethroat,456600,213400,2000
System.__ComObject,Whitethroat,457000,212800,2002
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,456600,213400,2010
System.__ComObject,Whitethroat,455500,213200,2000
System.__ComObject,Whitethroat,471400,171900,1997
System.__ComObject,Whitethroat,471400,171900,1997
System.__ComObject,Whitethroat,471400,171900,1997
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,450000,166700,1999
System.__ComObject,Whitethroat,456500,214300,2000
System.__ComObject,Whitethroat,456500,214300,2000
System.__ComObject,Whitethroat,454500,208200,2007
System.__ComObject,Whitethroat,456500,214300,2001
System.__ComObject,Whitethroat,456100,213600,2009
System.__ComObject,Whitethroat,457000,214000,2005
System.__ComObject,Whitethroat,457000,214000,2003
System.__ComObject,Whitethroat,456300,213700,2006
System.__ComObject,Whitethroat,457000,214000,2003
System.__ComObject,Whitethroat,457000,214000,2003
System.__ComObject,Whitethroat,457000,214000,2003
System.__ComObject,Whitethroat,457000,214000,2003
System.__ComObject,Whitethroat,457000,214000,2005
System.__ComObject,Whitethroat,455600,212700,2008
System.__ComObject,Whitethroat,456600,213400,2007
System.__ComObject,Whitethroat,457000,212800,2003
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,457000,212800,2005
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,456600,213400,1999
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2007
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2004
System.__ComObject,Whitethroat,457000,212800,2004
System.__ComObject,Whitethroat,457000,212800,2005
System.__ComObject,Whitethroat,457000,212800,2005
System.__ComObject,Whitethroat,456600,213400,2002
System.__ComObject,Whitethroat,456600,213400,2007
System.__ComObject,Whitethroat,456600,213400,2008
System.__ComObject,Whitethroat,456600,213400,2002
System.__ComObject,Whitethroat,456600,213400,2002
System.__ComObject,Whitethroat,456600,213400,2004
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,456300,213700,2005
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2007
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,456600,213400,2009
System.__ComObject,Whitethroat,457000,212800,2003
System.__ComObject,Whitethroat,456600,213400,2000
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2006
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,455500,213200,2008
System.__ComObject,Whitethroat,456500,214300,2001
System.__ComObject,Whitethroat,455500,214400,1999
System.__ComObject,Whitethroat,456500,214300,2006
System.__ComObject,Whitethroat,456200,214400,2000
System.__ComObject,Whitethroat,456200,214400,1999
System.__ComObject,Whitethroat,455500,213200,2008
System.__ComObject,Whitethroat,455500,213200,2002
System.__ComObject,Whitethroat,456500,214300,2005
System.__ComObject,Whitethroat,456100,213600,2005
System.__ComObject,Whitethroat,456200,214400,2000
System.__ComObject,Whitethroat,456200,214400,2010
System.__ComObject,Whitethroat,456100,213600,2002
System.__ComObject,Whitethroat,456100,213600,2004
System.__ComObject,Whitethroat,456100,213600,2009
System.__ComObject,Whitethroat,456100,213600,2008
System.__ComObject,Whitethroat,456100,213600,2001
System.__ComObject,Whitethroat,456100,213600,2008
System.__ComObject,Whitethroat,456100,213600,2008
System.__ComObject,Whitethroat,456100,213600,2005
System.__ComObject,Whitethroat,456100,213600,2000
System.__ComObject,Whitethroat,456500,212700,2009
System.__ComObject,Whitethroat,456500,212700,2010
System.__ComObject,Whitethroat,456500,212700,2010
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2008
System.__ComObject,Whitethroat,457000,212800,2007
System.__ComObject,Whitethroat,457000,212800,2007
System.__ComObject,Whitethroat,457000,212800,2007
System.__ComObject,Whitethroat,448500,217800,2011
System.__ComObject,Whitethroat,444600,218080,2011
System.__ComObject,Whitethroat,435387,201220,2007
System.__ComObject,Whitethroat,459900,211700,2002
System.__ComObject,Whitethroat,462440,201140,2003
System.__ComObject,Whitethroat,462440,201140,2003
System.__ComObject,Whitethroat,423800,190300,2001
System.__ComObject,Whitethroat,423800,190300,2011
System.__ComObject,Whitethroat,436960,163990,2008
System.__ComObject,Whitethroat,436960,163990,2008
System.__ComObject,Whitethroat,452600,204100,2003
System.__ComObject,Whitethroat,461400,208000,2010
System.__ComObject,Whitethroat,462200,225800,2010
System.__ComObject,Whitethroat,462200,225800,2010
System.__ComObject,Whitethroat,478450,175690,2007
System.__ComObject,Whitethroat,478450,175690,2007
System.__ComObject,Whitethroat,485170,179940,2010
System.__ComObject,Whitethroat,485620,162890,2009
System.__ComObject,Whitethroat,435376,200464,2006
System.__ComObject,Whitethroat,472000,188000,1990
System.__ComObject,Whitethroat,435876,200956,2006
System.__ComObject,Whitethroat,435876,200956,2006
System.__ComObject,Whitethroat,435876,200956,2006
System.__ComObject,Whitethroat,435876,200956,2006
System.__ComObject,Whitethroat,457000,214000,2004
System.__ComObject,Whitethroat,457000,214000,2003
System.__ComObject,Whitethroat,457000,214400,2001
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,457000,212800,2002
System.__ComObject,Whitethroat,470000,170200,2007
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,443712,242609,2013
System.__ComObject,Whitethroat,480700,162400,2013
System.__ComObject,Whitethroat,480700,162400,2013
System.__ComObject,Whitethroat,481400,162300,2013
System.__ComObject,Whitethroat,481400,162300,2013
System.__ComObject,Whitethroat,481400,162300,2013
System.__ComObject,Whitethroat,481400,162300,2013
System.__ComObject,Whitethroat,481400,162300,2013
System.__ComObject,Whitethroat,483984,162752,2006
System.__ComObject,Whitethroat,483984,162752,2006
System.__ComObject,Whitethroat,484140,162668,2006
System.__ComObject,Whitethroat,484385,162476,2006
System.__ComObject,Whitethroat,484591,162872,2006
System.__ComObject,Whitethroat,484591,162872,2006
System.__ComObject,Whitethroat,484701,162992,2006
System.__ComObject,Whitethroat,484790,163168,2006
System.__ComObject,Whitethroat,484790,163168,2006
System.__ComObject,Whitethroat,484790,163168,2006
System.__ComObject,Whitethroat,435876,200956,2008
System.__ComObject,Whitethroat,464053,219964,2008
System.__ComObject,Whitethroat,464053,219964,2008
System.__ComObject,Whitethroat,435586,201300,2010
System.__ComObject,Whitethroat,436669,200872,2011
System.__ComObject,Whitethroat,459918,185384,2011
System.__ComObject,Whitethroat,436492,200865,2007
System.__ComObject,Whitethroat,435310,201051,2007
System.__ComObject,Whitethroat,435404,199914,2007
System.__ComObject,Whitethroat,435994,200765,2007
System.__ComObject,Whitethroat,484701,162992,2007
System.__ComObject,Whitethroat,435994,200765,2007
System.__ComObject,Whitethroat,435376,200464,2007
System.__ComObject,Whitethroat,435628,201115,2007
System.__ComObject,Whitethroat,434849,200142,2007
System.__ComObject,Whitethroat,436244,201010,2007
System.__ComObject,Whitethroat,462141,201199,2007
System.__ComObject,Whitethroat,435387,201220,2007
System.__ComObject,Whitethroat,459918,185384,2007
System.__ComObject,Whitethroat,435830,200503,2007
System.__ComObject,Whitethroat,433677,168820,2007
System.__ComObject,Whitethroat,463684,220024,2007
System.__ComObject,Whitethroat,453782,227088,2007
System.__ComObject,Whitethroat,436669,200872,2007
System.__ComObject,Whitethroat,453713,227398,2007
System.__ComObject,Whitethroat,437051,164091,2007
System.__ComObject,Whitethroat,436244,201360,2007
System.__ComObject,Whitethroat,483863,162845,2007
System.__ComObject,Whitethroat,435999,201519,2007
System.__ComObject,Whitethroat,483984,162752,2007
System.__ComObject,Whitethroat,437051,164091,2007
System.__ComObject,Whitethroat,435999,201519,2007
System.__ComObject,Whitethroat,453569,227254,2007
