CommonName,Easting,Northing,SP_GEOMETRY
Holly Blue,453610,205710,System.__ComObject
Holly Blue,454500,208200,System.__ComObject
Holly Blue,454300,205300,System.__ComObject
Holly Blue,429700,186500,System.__ComObject
Holly Blue,429700,186500,System.__ComObject
Holly Blue,429700,186500,System.__ComObject
Holly Blue,488100,184700,System.__ComObject
Holly Blue,429700,186500,System.__ComObject
Holly Blue,470770,176440,System.__ComObject
Holly Blue,444400,164050,System.__ComObject
Holly Blue,458800,220400,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,455800,211800,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,443700,218000,System.__ComObject
Holly Blue,433200,214900,System.__ComObject
Holly Blue,461760,179430,System.__ComObject
Holly Blue,437800,163800,System.__ComObject
Holly Blue,437800,163800,System.__ComObject
Holly Blue,437800,163800,System.__ComObject
Holly Blue,478300,175430,System.__ComObject
Holly Blue,478300,175430,System.__ComObject
Holly Blue,478300,175430,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,444380,216820,System.__ComObject
Holly Blue,444230,216970,System.__ComObject
Holly Blue,442060,214020,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,478670,175620,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,451220,165360,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,451020,165420,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,451020,165420,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,451020,165420,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,450860,165180,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165270,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,441000,218700,System.__ComObject
Holly Blue,451020,165420,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
Holly Blue,450790,165020,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,451040,165220,System.__ComObject
Holly Blue,450720,165360,System.__ComObject
