CommonName,RecYear,Easting,Northing,SP_GEOMETRY
Holly Blue,2001,453610,205710,System.__ComObject
Holly Blue,2007,454500,208200,System.__ComObject
Holly Blue,2007,454300,205300,System.__ComObject
Holly Blue,2007,429700,186500,System.__ComObject
Holly Blue,2007,429700,186500,System.__ComObject
Holly Blue,2007,429700,186500,System.__ComObject
Holly Blue,2009,488100,184700,System.__ComObject
Holly Blue,2007,429700,186500,System.__ComObject
Holly Blue,2004,470770,176440,System.__ComObject
Holly Blue,2006,444400,164050,System.__ComObject
Holly Blue,2011,458800,220400,System.__ComObject
Holly Blue,1990,451220,165360,System.__ComObject
Holly Blue,1990,451040,165220,System.__ComObject
Holly Blue,1991,450790,165270,System.__ComObject
Holly Blue,1991,451220,165360,System.__ComObject
Holly Blue,1991,451040,165220,System.__ComObject
Holly Blue,1991,450790,165020,System.__ComObject
Holly Blue,1991,450720,165360,System.__ComObject
Holly Blue,2011,455800,211800,System.__ComObject
Holly Blue,2002,450720,165360,System.__ComObject
Holly Blue,2003,450860,165180,System.__ComObject
Holly Blue,2003,450790,165270,System.__ComObject
Holly Blue,2004,451040,165220,System.__ComObject
Holly Blue,2004,450790,165020,System.__ComObject
Holly Blue,2004,451220,165360,System.__ComObject
Holly Blue,2004,450790,165270,System.__ComObject
Holly Blue,1994,450720,165360,System.__ComObject
Holly Blue,1996,450790,165020,System.__ComObject
Holly Blue,1997,451040,165220,System.__ComObject
Holly Blue,2011,443700,218000,System.__ComObject
Holly Blue,2011,433200,214900,System.__ComObject
Holly Blue,2005,461760,179430,System.__ComObject
Holly Blue,2007,437800,163800,System.__ComObject
Holly Blue,2007,437800,163800,System.__ComObject
Holly Blue,2007,437800,163800,System.__ComObject
Holly Blue,2004,478300,175430,System.__ComObject
Holly Blue,2004,478300,175430,System.__ComObject
Holly Blue,2004,478300,175430,System.__ComObject
Holly Blue,2002,478670,175620,System.__ComObject
Holly Blue,2002,478670,175620,System.__ComObject
Holly Blue,2002,478670,175620,System.__ComObject
Holly Blue,2003,478670,175620,System.__ComObject
Holly Blue,2004,478670,175620,System.__ComObject
Holly Blue,2004,478670,175620,System.__ComObject
Holly Blue,2011,444380,216820,System.__ComObject
Holly Blue,2010,444230,216970,System.__ComObject
Holly Blue,2010,442060,214020,System.__ComObject
Holly Blue,1992,451220,165360,System.__ComObject
Holly Blue,2005,450790,165270,System.__ComObject
Holly Blue,1989,450720,165360,System.__ComObject
Holly Blue,2008,450790,165020,System.__ComObject
Holly Blue,2008,450790,165270,System.__ComObject
Holly Blue,2008,450860,165180,System.__ComObject
Holly Blue,1991,451040,165220,System.__ComObject
Holly Blue,2004,478670,175620,System.__ComObject
Holly Blue,2004,478670,175620,System.__ComObject
Holly Blue,2005,478670,175620,System.__ComObject
Holly Blue,2002,451040,165220,System.__ComObject
Holly Blue,2001,450790,165020,System.__ComObject
Holly Blue,2001,450720,165360,System.__ComObject
Holly Blue,2002,450860,165180,System.__ComObject
Holly Blue,2002,451220,165360,System.__ComObject
Holly Blue,1997,451220,165360,System.__ComObject
Holly Blue,2004,450720,165360,System.__ComObject
Holly Blue,1990,451220,165360,System.__ComObject
Holly Blue,1990,451220,165360,System.__ComObject
Holly Blue,1990,451040,165220,System.__ComObject
Holly Blue,1991,450720,165360,System.__ComObject
Holly Blue,2002,450790,165270,System.__ComObject
Holly Blue,2004,450790,165020,System.__ComObject
Holly Blue,2004,450790,165270,System.__ComObject
Holly Blue,1987,450720,165360,System.__ComObject
Holly Blue,1996,450790,165270,System.__ComObject
Holly Blue,1996,451220,165360,System.__ComObject
Holly Blue,1996,451220,165360,System.__ComObject
Holly Blue,1997,450860,165180,System.__ComObject
Holly Blue,1990,450790,165270,System.__ComObject
Holly Blue,1990,450720,165360,System.__ComObject
Holly Blue,1990,450790,165020,System.__ComObject
Holly Blue,1990,451020,165420,System.__ComObject
Holly Blue,1990,450860,165180,System.__ComObject
Holly Blue,1990,451020,165420,System.__ComObject
Holly Blue,1991,451040,165220,System.__ComObject
Holly Blue,1991,451020,165420,System.__ComObject
Holly Blue,1991,451040,165220,System.__ComObject
Holly Blue,1997,450860,165180,System.__ComObject
Holly Blue,2001,450860,165180,System.__ComObject
Holly Blue,2003,450720,165360,System.__ComObject
Holly Blue,2003,450790,165270,System.__ComObject
Holly Blue,1991,451040,165220,System.__ComObject
Holly Blue,2002,441000,218700,System.__ComObject
Holly Blue,1996,451020,165420,System.__ComObject
Holly Blue,1996,450720,165360,System.__ComObject
Holly Blue,1996,450720,165360,System.__ComObject
Holly Blue,1997,450790,165020,System.__ComObject
Holly Blue,1997,451040,165220,System.__ComObject
Holly Blue,2008,450790,165020,System.__ComObject
Holly Blue,2008,450720,165360,System.__ComObject
Holly Blue,2009,450790,165020,System.__ComObject
Holly Blue,2009,451040,165220,System.__ComObject
Holly Blue,1990,451040,165220,System.__ComObject
Holly Blue,1990,450720,165360,System.__ComObject
Holly Blue,2007,451040,165220,System.__ComObject
Holly Blue,2003,432740,182910,System.__ComObject
Holly Blue,2005,476620,200780,System.__ComObject
Holly Blue,2005,476620,200780,System.__ComObject
Holly Blue,2006,475330,199420,System.__ComObject
Holly Blue,2007,475700,199520,System.__ComObject
Holly Blue,2005,461700,179500,System.__ComObject
Holly Blue,2005,461910,179370,System.__ComObject
Holly Blue,2009,476620,200780,System.__ComObject
Holly Blue,2009,476620,200780,System.__ComObject
Holly Blue,2010,476620,200780,System.__ComObject
Holly Blue,2007,476580,200830,System.__ComObject
Holly Blue,2007,476580,200830,System.__ComObject
Holly Blue,2007,461910,179370,System.__ComObject
Holly Blue,2006,476620,200780,System.__ComObject
Holly Blue,2003,432840,182950,System.__ComObject
Holly Blue,1989,451020,165420,System.__ComObject
Holly Blue,2004,432740,182910,System.__ComObject
Holly Blue,2004,432740,182910,System.__ComObject
Holly Blue,2007,433150,177010,System.__ComObject
Holly Blue,2007,433130,177080,System.__ComObject
Holly Blue,2008,433130,177080,System.__ComObject
Holly Blue,2010,433130,177080,System.__ComObject
Holly Blue,2010,433130,177080,System.__ComObject
Holly Blue,2006,433050,177200,System.__ComObject
Holly Blue,2006,433050,177200,System.__ComObject
Holly Blue,2007,433050,177200,System.__ComObject
Holly Blue,2010,433050,177200,System.__ComObject
Holly Blue,2001,450800,165000,System.__ComObject
Holly Blue,2001,450800,165000,System.__ComObject
Holly Blue,2002,433100,177000,System.__ComObject
Holly Blue,2007,437000,164000,System.__ComObject
Holly Blue,2004,451200,165300,System.__ComObject
Holly Blue,2004,450700,165300,System.__ComObject
Holly Blue,2004,450800,165400,System.__ComObject
Holly Blue,2004,450500,165300,System.__ComObject
Holly Blue,2004,432900,182800,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2003,432900,182700,System.__ComObject
Holly Blue,2003,432900,182700,System.__ComObject
Holly Blue,2003,432900,182800,System.__ComObject
Holly Blue,2003,432900,182800,System.__ComObject
Holly Blue,2003,450800,165000,System.__ComObject
Holly Blue,2003,450800,165000,System.__ComObject
Holly Blue,2003,450800,165000,System.__ComObject
Holly Blue,2004,432900,182800,System.__ComObject
Holly Blue,2004,450800,165100,System.__ComObject
Holly Blue,2004,451000,165200,System.__ComObject
Holly Blue,2004,450700,165300,System.__ComObject
Holly Blue,2004,450800,165100,System.__ComObject
Holly Blue,2005,433100,177200,System.__ComObject
Holly Blue,2005,433100,177200,System.__ComObject
Holly Blue,2013,443900,167800,System.__ComObject
Holly Blue,1995,469400,183000,System.__ComObject
Holly Blue,2003,451600,204100,System.__ComObject
Holly Blue,2010,427400,207300,System.__ComObject
Holly Blue,2004,461200,163380,System.__ComObject
Holly Blue,2004,461200,163380,System.__ComObject
Holly Blue,2008,461200,163380,System.__ComObject
Holly Blue,2003,461090,163380,System.__ComObject
Holly Blue,2004,461090,163380,System.__ComObject
Holly Blue,2007,461090,163380,System.__ComObject
Holly Blue,2008,461090,163380,System.__ComObject
Holly Blue,2010,461090,163380,System.__ComObject
Holly Blue,2004,461060,163370,System.__ComObject
Holly Blue,2003,461020,163470,System.__ComObject
Holly Blue,2004,461020,163470,System.__ComObject
Holly Blue,2004,461380,163480,System.__ComObject
Holly Blue,2004,461380,163480,System.__ComObject
Holly Blue,2004,461380,163480,System.__ComObject
Holly Blue,2006,461380,163480,System.__ComObject
Holly Blue,2004,461300,163370,System.__ComObject
Holly Blue,2004,461260,163320,System.__ComObject
Holly Blue,2002,461200,163380,System.__ComObject
Holly Blue,2003,461200,163380,System.__ComObject
Holly Blue,2001,463370,173790,System.__ComObject
Holly Blue,2001,463370,173790,System.__ComObject
Holly Blue,2005,463510,174140,System.__ComObject
Holly Blue,2006,463840,174110,System.__ComObject
Holly Blue,2004,463370,173790,System.__ComObject
Holly Blue,2004,463370,173790,System.__ComObject
Holly Blue,2005,463370,173790,System.__ComObject
Holly Blue,2006,463370,173790,System.__ComObject
Holly Blue,2001,463450,173940,System.__ComObject
Holly Blue,2001,463450,173940,System.__ComObject
Holly Blue,2001,463450,173940,System.__ComObject
Holly Blue,2002,463450,173940,System.__ComObject
Holly Blue,2002,463450,173940,System.__ComObject
Holly Blue,2003,463450,173940,System.__ComObject
Holly Blue,2004,463450,173940,System.__ComObject
Holly Blue,2004,463450,173940,System.__ComObject
Holly Blue,2005,463450,173940,System.__ComObject
Holly Blue,2005,463450,173940,System.__ComObject
Holly Blue,2005,463450,173940,System.__ComObject
Holly Blue,2007,463450,173940,System.__ComObject
Holly Blue,2001,463930,173950,System.__ComObject
Holly Blue,2005,463930,173950,System.__ComObject
Holly Blue,2008,463930,173950,System.__ComObject
Holly Blue,2003,478500,175800,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2007,477983,164471,System.__ComObject
Holly Blue,2007,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2007,478142,164478,System.__ComObject
